Degree	Network
16	Sanak_sho
11	Sanak_sho
6	Sanak_sho
33	Sanak_sho
10	Sanak_sho
28	Sanak_sho
37	Sanak_sho
18	Sanak_sho
19	Sanak_sho
18	Sanak_sho
8	Sanak_sho
22	Sanak_sho
9	Sanak_sho
19	Sanak_sho
34	Sanak_sho
12	Sanak_sho
18	Sanak_sho
13	Sanak_sho
32	Sanak_sho
10	Sanak_sho
22	Sanak_sho
13	Sanak_sho
7	Sanak_sho
7	Sanak_sho
11	Sanak_sho
34	Sanak_sho
19	Sanak_sho
40	Sanak_sho
30	Sanak_sho
78	Sanak_sho
73	Sanak_sho
34	Sanak_sho
12	Sanak_sho
15	Sanak_sho
25	Sanak_sho
18	Sanak_sho
21	Sanak_sho
8	Sanak_sho
18	Sanak_sho
32	Sanak_sho
21	Sanak_sho
28	Sanak_sho
4	Sanak_sho
33	Sanak_sho
30	Sanak_sho
19	Sanak_sho
102	Sanak_sho
10	Sanak_sho
12	Sanak_sho
44	Sanak_sho
12	Sanak_sho
4	Sanak_sho
10	Sanak_sho
7	Sanak_sho
8	Sanak_sho
13	Sanak_sho
13	Sanak_sho
42	Sanak_sho
21	Sanak_sho
20	Sanak_sho
22	Sanak_sho
6	Sanak_sho
40	Sanak_sho
17	Sanak_sho
28	Sanak_sho
12	Sanak_sho
79	Sanak_sho
47	Sanak_sho
6	Sanak_sho
12	Sanak_sho
55	Sanak_sho
38	Sanak_sho
53	Sanak_sho
75	Sanak_sho
60	Sanak_sho
13	Sanak_sho
51	Sanak_sho
23	Sanak_sho
40	Sanak_sho
18	Sanak_sho
62	Sanak_sho
120	Sanak_sho
39	Sanak_sho
123	Sanak_sho
47	Sanak_sho
6	Sanak_sho
21	Sanak_sho
7	Sanak_sho
8	Sanak_sho
4	Sanak_sho
5	Sanak_sho
15	Sanak_sho
14	Sanak_sho
8	Sanak_sho
16	Sanak_sho
57	Sanak_sho
89	Sanak_sho
38	Sanak_sho
51	Sanak_sho
9	Sanak_sho
75	Sanak_sho
14	Sanak_sho
24	Sanak_sho
7	Sanak_sho
27	Sanak_sho
30	Sanak_sho
32	Sanak_sho
11	Sanak_sho
7	Sanak_sho
16	Sanak_sho
6	Sanak_sho
6	Sanak_sho
10	Sanak_sho
6	Sanak_sho
14	Sanak_sho
27	Sanak_sho
13	Sanak_sho
9	Sanak_sho
70	Sanak_sho
28	Sanak_sho
35	Sanak_sho
104	Sanak_sho
5	Sanak_sho
26	Sanak_sho
4	Sanak_sho
22	Sanak_sho
4	Sanak_sho
4	Sanak_sho
105	Sanak_sho
22	Sanak_sho
14	Sanak_sho
12	Sanak_sho
40	Sanak_sho
14	Sanak_sho
34	Sanak_sho
12	Sanak_sho
13	Sanak_sho
19	Sanak_sho
27	Sanak_sho
26	Sanak_sho
4	Sanak_sho
31	Sanak_sho
8	Sanak_sho
31	Sanak_sho
58	Sanak_sho
45	Sanak_sho
7	Sanak_sho
50	Sanak_sho
27	Sanak_sho
40	Sanak_sho
7	Sanak_sho
89	Sanak_sho
49	Sanak_sho
45	Sanak_sho
16	Sanak_sho
40	Sanak_sho
7	Sanak_sho
18	Sanak_sho
23	Sanak_sho
50	Sanak_sho
14	Sanak_sho
33	Sanak_sho
7	Sanak_sho
44	Sanak_sho
12	Sanak_sho
5	Sanak_sho
85	Sanak_sho
52	Sanak_sho
35	Sanak_sho
18	Sanak_sho
15	Sanak_sho
20	Sanak_sho
24	Sanak_sho
16	Sanak_sho
4	Sanak_sho
39	Sanak_sho
30	Sanak_sho
34	Sanak_sho
6	Sanak_sho
17	Sanak_sho
22	Sanak_sho
30	Sanak_sho
9	Sanak_sho
24	Sanak_sho
10	Sanak_sho
20	Sanak_sho
17	Sanak_sho
25	Sanak_sho
12	Sanak_sho
16	Sanak_sho
35	Sanak_sho
5	Sanak_sho
11	Sanak_sho
56	Sanak_sho
30	Sanak_sho
71	Sanak_sho
4	Sanak_sho
11	Sanak_sho
27	Sanak_sho
4	Sanak_sho
41	Sanak_sho
36	Sanak_sho
25	Sanak_sho
20	Sanak_sho
9	Sanak_sho
64	Sanak_sho
16	Sanak_sho
27	Sanak_sho
9	Sanak_sho
19	Sanak_sho
39	Sanak_sho
18	Sanak_sho
