Prey,Predator
Detritus,Cnemidocarpa verrucosa
Nanoplankton,Cnemidocarpa verrucosa
Zooplankton,Cnidaria
Zooplankton,Coelenterata
Bryozoa,Colossendeis sp
Ctenophora,Colossendeis sp
Gastropoda,Colossendeis sp
Ophiuroidea,Colossendeis sp
Polychaeta,Colossendeis sp
Porifera,Colossendeis sp
Detritus,Composothyris racovitzae
Zooplankton,Copepoda
Bacillariophyta,Corella eumyota
Bacteria,Corella eumyota
Detritus,Corella eumyota
Nanoplankton,Corella eumyota
Detritus,Crania lecointei
Detritus,Crinoidea
Zooplankton,Crustacea
Euphausiacea,Cryodraco antarcticus
Pleuragramma antarcticum,Cryodraco antarcticus
Bivalvia,Ctenocidaris gigantea
Bryozoa,Ctenocidaris gigantea
Crustacea,Ctenocidaris gigantea
Detritus,Ctenocidaris gigantea
Hydrozoa,Ctenocidaris gigantea
Polychaeta,Ctenocidaris gigantea
Porifera,Ctenocidaris gigantea
Zooplankton,Ctenocidaris gigantea
Bryozoa,Ctenocidaris gilberti
Foraminifera,Ctenocidaris gilberti
Porifera,Ctenocidaris gilberti
Bryozoa,Ctenocidaris perrieri
Eunoe spica,Ctenocidaris perrieri
Foraminifera,Ctenocidaris perrieri
Polychaeta,Ctenocidaris perrieri
Porifera,Ctenocidaris perrieri
Bryozoa,Ctenocidaris spinosa
Detritus,Ctenocidaris spinosa
Foraminifera,Ctenocidaris spinosa
Hydrozoa,Ctenocidaris spinosa
Polychaeta,Ctenocidaris spinosa
Porifera,Ctenocidaris spinosa
Yoldia eightsi,Ctenocidaris spinosa
Zooplankton,Ctenocidaris spinosa
Zooplankton,Ctenophora
Detritus,Cuenotaster involutus
Zooplankton,Cumacea
Bacillariophyta,Cyclocardia astartoides
Detritus,Cyclocardia astartoides
Amphipoda,Cygnodraco mawsoni
Crustacea,Cygnodraco mawsoni
Decapoda,Cygnodraco mawsoni
Euphausia crystallorophias,Cygnodraco mawsoni
Fish,Cygnodraco mawsoni
Mysidacea,Cygnodraco mawsoni
Pteropoda,Cygnodraco mawsoni
Polychaeta,Cylichna sp
Scaphopoda,Cylichna sp
Bacillariophyta,Cyllopus lucasii
Calanus propinquus,Cyllopus lucasii
Coelenterata,Cyllopus lucasii
Copepoda,Cyllopus lucasii
Eukrohnia hamata,Cyllopus lucasii
Euphausia superba,Cyllopus lucasii
Metridia gerlachei,Cyllopus lucasii
Oithona sp,Cyllopus lucasii
Oncaea sp,Cyllopus lucasii
Ostracoda,Cyllopus lucasii
Pelagobia longicirrata,Cyllopus lucasii
Tintinnidae,Cyllopus lucasii
Zooplankton,Cyllopus lucasii
